"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
2002,12,"Portage","14953","8001","",NA,0,0,8,0,48183,0,0,0,0,0,0,48183,48191,NA,"1",8001,1851,671,2079,1.79543972788088,0,1,0,1.29831849607427,344.0283572,1.85974079830432,0.0587864041814128
2003,12,"Portage","4940","3179","",NA,0,0,0,0,4835,0,0,0,375,0,0,5210,5210,NA,"0.93",3179,8001,1851,671,0.49401317383661,0,0.928023032629559,0.0719769673704415,1.04956602707501,548.7740497,1.47654723025747,1.54295723363427
2004,12,"Portage","1287","778","",NA,0,0,0,0,5627,0,0,61,0,0,0,5688,5688,NA,"0.99",778,3179,8001,1851,1.98938744730469,0,1,0,0.190119614924984,328.1716624,0.152603236689194,-0.0561563991876827
2005,12,"Portage","12082","8261","",NA,0,0,0,0,2520,13,0,0,0,0,0,2520,2533,NA,"1",8261,778,3179,8001,-1.18728674405704,0,0.994867745756021,0.00513225424397947,-0.0354884729801131,657.1627969,-0.194937306455495,2.32865101244322
2006,12,"Portage","18882","10971","",NA,0,307,50,0,171032,0,0,1278,0,0,0,172617,172668,NA,"0.99",10971,8261,778,3179,2.75581983959068,0.0017779785484282,0.998216229990502,0,-1.22185713587856,407.2142707,-2.02249239679873,0.516811618309087
2007,12,"Portage","1699","849","",NA,0,0,0,0,2761,0,0,94,0,0,0,2856,2856,NA,"0.97",849,10971,8261,778,1.21311813714813,0,0.999649859943978,0,-0.606367180598768,653.762543,-1.07435389988447,2.30400308168827
2008,12,"Portage","97","63","",NA,0,0,0,0,94,0,0,208,156,0,0,459,459,NA,"0.21",63,849,10971,8261,1.98591548366901,0,0.657952069716776,0.339869281045752,0.0372448575348119,435.5747755,-0.0828944208187338,0.722392665796656
2009,12,"Portage","1773","792","",NA,0,0,0,0,12139,0,0,0,0,0,0,12139,12139,NA,"1",792,63,849,10971,2.72961729708338,0,1,0,0.0112421931371777,577.8224288,-0.122950520721341,1.7535245787964
2010,12,"Portage","75545","34854","",NA,0,0,182,0,83764,0,0,28,3,0,0,83795,83977,NA,"1",34854,792,63,849,0.877205431598386,0,0.999964275932696,3.57240673041428e-05,-0.0692361966607819,355.8470816,-0.246924370956526,0.144458565493538
2011,12,"Portage","1821","330","",NA,0,0,0,0,51,0,0,0,0,0,0,51,51,NA,"1",330,34854,792,63,-1.8672670217362,0,1,0,0.362810721721245,549.4208599,0.418627214860918,1.54764586380427
2012,12,"Portage","","13","",NA,0,0,0,0,219,0,0,0,0,0,0,219,219,NA,"1",13,330,34854,792,2.82412237235496,0,1,0,0.510190324425971,381.53067615,0.645659798878895,0.330635091901312
2013,12,"Portage","","4181","",NA,0,0,0,0,1821,0,0,761,0,0,0,2583,2583,NA,"0.71",4181,13,330,34854,-0.481598938260725,0,0.99961285327139,0,1.48874455167342,615.7924859,2.15308477992466,2.02876383024234
