"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","np_pinks","early_sst_stnd","np_pinks_stnd"
1973,10,"Birkenhead",56653,"28374","",NA,0,0,44117,0,140353,3011,0,24973,4070,0,0,169396,216524,216524,"0.848946929",28374,26202,16143,19252,2.03222816291231,0,0.967296927823244,0.0327030721767564,-0.719690632664195,279.1204321,-1.12738049192045,-0.376725815234263
1974,10,"Birkenhead",119637,"85495","",NA,0,0,54695,0,424633,3384,0,207538,32659,0,4272,669102,727181,727181,"0.671705915",85495,28374,26202,16143,2.14071752020862,0,0.944559882615195,0.0554401173848052,-0.804232857780191,234.0968415,-1.25627250635629,-0.681971150562695
1975,10,"Birkenhead",61538,"23315","",NA,0,0,9335,0,80976,1030,0,18616,10152,0,484,110228,120593,120593,"0.813077356",23315,85495,28374,26202,1.64332430923049,0,0.903261383330707,0.0967386166692926,-0.259157858991172,319.9023766,-0.425258010154702,-0.100237464164191
1976,10,"Birkenhead",77305,"50023","",NA,0,0,29279,0,479356,977,0,84392,22209,0,3364,589321,619577,619577,"0.850301908",50023,23315,85495,28374,2.5165540874701,0,0.957148183357355,0.0428518166426449,0.315181372553294,244.4852059,0.450372367703582,-0.61154141067447
1977,10,"Birkenhead",23845,"12799","",NA,0,0,15580,0,287020,3551,0,98126,21384,0,5972,412502,431633,431633,"0.745223889",12799,50023,23315,85495,3.51820864727233,0,0.928395187578336,0.0716048124216638,-0.072518130974182,297.883815,-0.140709425292392,-0.249516167383426
1978,10,"Birkenhead",94782,"48158","",NA,0,0,42233,0,493542,292,0,117215,11450,0,1482,623689,666214,666214,"0.808082429",48158,12799,50023,23315,2.62712366835003,0,0.980150522204577,0.0198494777954231,0.0679694545273914,223.2043036,0.0734761828304213,-0.755819023190231
1979,10,"Birkenhead",60988,"35482","",NA,0,0,13881,0,273583,895,0,121177,5205,0,1210,401175,415951,415951,"0.693036275",35482,48158,12799,50023,2.46154193922366,0,0.982425814579121,0.0175741854208789,-0.145095889362072,431.0079915,-0.251360564046048,0.653022554085488
1980,10,"Birkenhead",78613,"32786","",NA,0,0,10131,0,115564,0,0,36212,1265,0,0,153041,163172,163172,"0.761411554",32786,35482,48158,12799,1.60480326417871,0,0.992247444414483,0.00775255558551712,-0.631288438048684,308.7731516,-0.992603616472602,-0.175689998531154
1981,10,"Birkenhead",49023,"27175","",NA,0,0,4550,0,105179,0,0,156430,0,0,0,261609,266159,266159,"0.402046566",27175,32786,35482,48158,2.28179644155733,0,1,0,0.891320692461498,326.2901376,1.32874713766944,-0.0569305172401742
1982,10,"Birkenhead",119738,"72353","",NA,0,0,48333,0,1471487,1815,0,281339,12955,0,513,1766294,1816442,1816442,"0.839494051",72353,27175,32786,35482,3.22307800429863,0,0.991586298929446,0.00841370107055441,-0.528779816443923,261.7616152,-0.836320259634633,-0.494412961348846
1983,10,"Birkenhead",44029,"21113","",NA,0,0,15268,0,625519,795,0,149561,15531,0,1436,792047,808110,808110,"0.807037983",21113,72353,27175,32786,3.64480922336299,0,0.978020319015976,0.0219796809840245,-0.250288687559804,270.3310462,-0.411736182800414,-0.436314999717841
1984,10,"Birkenhead",40245,"23227","",NA,0,0,5918,0,347631,120,0,86729,27258,0,2705,464323,470361,470361,"0.80032922",23227,21113,72353,27175,3.0081850898906,0,0.936042741638869,0.0639572583611311,-0.10463012802725,212.1579015,-0.189666972625088,-0.830710045168989
1985,10,"Birkenhead",11905,"5758","",NA,0,0,12226,0,123208,851,0,93098,15248,0,1211,232765,245842,245842,"0.569600473",5758,23227,21113,72353,3.75409886097175,0,0.929588922966784,0.0704110770332165,0.067799958328012,364.3859048,0.0732177710539718,0.201346423327908
1986,10,"Birkenhead",335630,"197896","",NA,0,0,24019,0,869228,559,0,315301,2860,0,0,1187389,1211967,1211967,"0.733817408",197896,5758,23227,21113,1.81225829835995,0,0.997178966093961,0.0028210339060387,-0.0745907987464335,303.0355966,-0.143869388542179,-0.214588759749463
1987,10,"Birkenhead",164849,"89432","",NA,0,0,5671,0,698300,1185,0,279598,3799,0,11345,993042,999898,999898,"0.714082655",89432,197896,5758,23227,2.41417471381176,0,0.983669334272096,0.0163306657279042,0.455744405638582,486.0193237,0.664673002264794,1.02598153670943
1988,10,"Birkenhead",166591,"75535","",NA,0,0,29507,0,200724,1501,0,664723,27396,0,3864,896707,927715,927715,"0.231931014",75535,89432,197896,5758,2.50812844855298,0,0.964686353028678,0.035313646971322,0.365155044290913,277.2341688,0.526561599891161,-0.389514068366749
1989,10,"Birkenhead",29334,"15739","",NA,0,0,36435,0,935181,1181,0,173958,1174,0,0,1110313,1147929,1147929,"0.843159424",15739,75535,89432,197896,4.28957301970757,0,0.997948479392018,0.00205152060798185,-0.240280431294456,398.5924679,-0.396477721016839,0.433255822039717
1990,10,"Birkenhead",166773,"97112","",NA,0,0,10179,0,200407,0,0,24968,3059,0,0,228434,238613,238613,"0.889215752",97112,15739,75535,89432,0.898978041076962,0,0.987180078201942,0.0128199217980579,1.11094291459009,453.748659,1.66358041874514,0.807196901002854
1991,10,"Birkenhead",293626,"152083","",NA,0,0,244,0,55270,186,0,61746,3222,0,1717,121955,122385,122385,"0.47232857",152083,97112,15739,75535,-0.217254610896495,0,0.958123953098827,0.0418760469011725,0.880955602482699,434.867605,1.3129446516887,0.679189481275112
1992,10,"Birkenhead",185908,"93443","",NA,0,0,3522,0,47661,125,0,46563,435,0,876,95535,99182,99182,"0.505826541",93443,152083,97112,15739,0.0596049214846796,0,0.98552156641326,0.0144784335867395,0.550695354111887,424.2513281,0.809434025582153,0.60721456858834
1993,10,"Birkenhead",244954,"151096","",NA,0,0,8716,0,180208,0,0,380162,4380,0,2414,567164,575880,575880,"0.321587523",151096,93443,152083,97112,1.33798390926461,0,0.988202403278461,0.0117975967215392,0.968714361478486,401.9695761,1.44674055327322,0.456151519855284
