"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Gates]","-0.121597061460364","-0.0056907881428742","0.0350335996043336","0.170581744349152","0.585835839296006","lo_sal"
"b[(Intercept) Stock:Harrison]","-0.143429944873042","-0.00548666057350964","0.0348571157037132","0.168798039832683","0.587401659328362","lo_sal"
"b[(Intercept) Stock:L.Shuswap]","-0.217040908453865","-0.0190645495371908","0.0136713615543924","0.0987637207722494","0.447157524466877","lo_sal"
"b[(Intercept) Stock:L.Stuart]","-0.420138896768576","-0.0831689404496409","-0.00772153514855516","0.0244608598235789","0.240476952617563","lo_sal"
"b[(Intercept) Stock:Nadina]","-0.196959834846593","-0.0170882448516158","0.0159094968197868","0.109869708447309","0.438858972834167","lo_sal"
"b[(Intercept) Stock:Pitt]","-0.338042770136093","-0.0521658588687544","-8.86992001090954e-06","0.0482452163542811","0.292636879023976","lo_sal"
"b[(Intercept) Stock:Portage]","-0.416151363099811","-0.0903219895207059","-0.00969843207272242","0.0233391289710076","0.213863429259518","lo_sal"
"b[(Intercept) Stock:Quesnel]","-0.454172408880006","-0.10698279850639","-0.0148614112022642","0.0167396136051616","0.198928337559574","lo_sal"
"b[(Intercept) Stock:Raft]","-0.378734970671134","-0.0762387114910681","-0.00596626830864322","0.0315126898839646","0.247271054557531","lo_sal"
"b[(Intercept) Stock:Scotch]","-0.309578716394233","-0.0492995980543516","0.000531431379189874","0.0505558588481697","0.308502446981919","lo_sal"
"b[(Intercept) Stock:Seymour]","-0.418651652202573","-0.0939787963733259","-0.0114748257033005","0.0201798039580827","0.22759525599117","lo_sal"
"b[(Intercept) Stock:Stellako]","-0.350605893576738","-0.0690950567592872","-0.00465139340559092","0.031472866055552","0.236783490220866","lo_sal"
"b[(Intercept) Stock:Weaver]","-0.42755297981214","-0.0983381881844064","-0.0118778859203707","0.0219121229489714","0.209054613127464","lo_sal"
"b[(Intercept) Stock:Birkenhead]","-0.626390723591747","-0.181368020027309","-0.0407980213108695","0.00424345647998045","0.13123098095264","my_arc"
"b[(Intercept) Stock:Bowron]","-0.576207074491821","-0.157928411583185","-0.0348825190812653","0.00639072054741515","0.157675772371872","my_arc"
"b[(Intercept) Stock:Chilko]","-0.16527162236953","-0.00891324752376898","0.0297534062646693","0.144359076332196","0.512338855244893","my_arc"
"b[(Intercept) Stock:E.Stuart]","-0.340478814534605","-0.0553542726016783","-8.61022487181569e-05","0.0563641072096131","0.322502299132624","my_arc"
"b[(Intercept) Stock:Fennell]","-0.587706178160166","-0.167909280353388","-0.035493887068303","0.00710881888752591","0.157558304771282","my_arc"
"b[(Intercept) Stock:Gates]","-0.13669535356818","-0.00211243494673731","0.050123982516659","0.197160880785761","0.615416116044879","my_arc"
"b[(Intercept) Stock:Harrison]","-0.135030767471854","-0.00527512415642157","0.0399444888960396","0.180859594315312","0.612271001766271","my_arc"
